"index","painting index","image source","title","season","episode","number of colors","youtube source","colors","color hex","black gesso","bright red","burnt umber","cadmium yellow","dark sienna","indian red","indian yellow","liquid black","liquid clear","midnight black","phthalo blue","phthalo green","prussian blue","sap green","titanium white","van dyke brown","yellow ochre","alizarin crimson"
"269","25","https://www.twoinchbrush.com/images/painting25.png","indian summer","21","9","13","https://www.youtube.com/embed/pfwv8nkotvu","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1"
"270","27","https://www.twoinchbrush.com/images/painting27.png","blue winter","21","10","3","https://www.youtube.com/embed/lir0gs0szy0","['midnight black\r\n\r\n', 'prussian blue', 'titanium white']","['#000000', '#021e44', '#ffffff']","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0"
"271","28","https://www.twoinchbrush.com/images/painting28.png","desert glow","21","11","9","https://www.youtube.com/embed/qyncjfl_hmu","['alizarin crimson', 'bright red', 'cadmium yellow', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#c79b00']","0","1","0","1","0","0","1","0","0","1","1","0","0","1","1","0","1","1"
"272","29","https://www.twoinchbrush.com/images/painting29.png","lone mountain","21","12","13","https://www.youtube.com/embed/njbziftllmu","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1"
"273","30","https://www.twoinchbrush.com/images/painting30.png","florida's glory","21","13","11","https://www.youtube.com/embed/hqc5spn9xhc","['alizarin crimson', 'cadmium yellow', 'dark sienna', 'liquid clear', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#ffec00', '#5f2e1f', '#ffffff', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","0","0","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1"
"274","14","https://www.twoinchbrush.com/images/painting14.png","autumn images","22","1","11","https://www.youtube.com/embed/hmx34am6rfg","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian red', 'midnight black\r\n\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#cd5c5c', '#000000', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1"
"275","15","https://www.twoinchbrush.com/images/painting15.png","hint of springtime","22","2","13","https://www.youtube.com/embed/c-osahvt8ms","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1"
"276","16","https://www.twoinchbrush.com/images/painting16.png","around the bend","22","3","14","https://www.youtube.com/embed/kl5x3icovvw","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1"
"277","4","https://www.twoinchbrush.com/images/painting4.png","countryside oval","22","4","12","https://www.youtube.com/embed/hdnh5axk4u0","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1"
"278","5","https://www.twoinchbrush.com/images/painting5.png","russet winter","22","5","9","https://www.youtube.com/embed/ae4nid1p-t0","['alizarin crimson', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#ffffff', '#221b15', '#c79b00']","0","0","0","1","1","0","1","0","0","1","1","0","0","0","1","1","1","1"
"279","6","https://www.twoinchbrush.com/images/painting6.png","purple haze","22","6","11","https://www.youtube.com/embed/zoj2tcxwb7g","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
"280","7","https://www.twoinchbrush.com/images/painting7.png","dimensions","22","7","12","https://www.youtube.com/embed/juup75rvzdi","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1"
"281","8","https://www.twoinchbrush.com/images/painting8.png","deep wilderness home","22","8","12","https://www.youtube.com/embed/uzwnvdffbuk","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1"
"282","9","https://www.twoinchbrush.com/images/painting9.png","haven in the valley","22","9","13","https://www.youtube.com/embed/qccgam514ds","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'phthalo green\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#102e3c', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1"
"283","10","https://www.twoinchbrush.com/images/painting10.png","wintertime blues","22","10","7","https://www.youtube.com/embed/dbmjvm4il2q","['alizarin crimson', 'dark sienna', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'titanium white', 'van dyke brown']","['#4e1500', '#5f2e1f', '#000000', '#0c0040', '#021e44', '#ffffff', '#221b15']","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1"
"284","11","https://www.twoinchbrush.com/images/painting11.png","pastel seascape","22","11","11","https://www.youtube.com/embed/k4aud_spfdq","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
"285","12","https://www.twoinchbrush.com/images/painting12.png","country creek","22","12","13","https://www.youtube.com/embed/jda6jpcqy88","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1"
